kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 230 : 30046 302349 0 0 0 0 0 0 0 
_1.ptx 231 : 30046 242790 0 0 0 0 0 0 0 
_1.ptx 232 : 30046 71106 0 0 0 0 0 0 378 
_1.ptx 234 : 32128 324236 0 0 0 0 0 0 0 
_1.ptx 235 : 32128 325020 0 0 0 0 0 0 0 
_1.ptx 236 : 32128 265630 0 0 0 0 0 0 0 
_1.ptx 237 : 32128 188864 0 0 0 0 0 0 0 
_1.ptx 238 : 1120 6816 0 0 0 0 0 0 0 
_1.ptx 244 : 1120 283255 128 0 0 1120 83 0 0 
_1.ptx 245 : 1120 7905 0 0 0 0 0 0 0 
_1.ptx 246 : 1120 6752 0 0 0 0 0 0 0 
_1.ptx 247 : 1120 8992 0 0 0 0 0 0 0 
_1.ptx 248 : 1120 4545 0 0 0 0 0 0 22 
_1.ptx 249 : 371 2597 0 0 0 0 0 0 0 
_1.ptx 250 : 371 2597 0 0 0 0 0 0 0 
_1.ptx 251 : 371 4081 0 0 0 0 0 0 0 
_1.ptx 252 : 371 2247 0 0 0 0 0 0 0 
_1.ptx 253 : 371 2265 0 0 0 0 0 0 0 
_1.ptx 254 : 371 2597 0 0 0 0 0 0 0 
_1.ptx 258 : 1003 177821 0 0 0 0 0 0 0 
_1.ptx 259 : 1003 7043 0 0 0 0 0 0 0 
_1.ptx 260 : 1003 10089 0 0 0 0 0 0 0 
_1.ptx 62 : 1024 6144 0 0 0 0 0 0 0 
_1.ptx 262 : 1003 5257 0 0 0 0 0 0 0 
_1.ptx 63 : 1024 6144 0 0 0 0 0 0 0 
_1.ptx 64 : 1024 19008 0 0 0 0 0 0 0 
_1.ptx 264 : 1003 11045 0 0 0 0 0 0 0 
_1.ptx 65 : 1024 6144 0 0 0 0 0 0 0 
_1.ptx 265 : 1003 12513 5888 0 0 482 168 0 0 
_1.ptx 66 : 1024 11328 0 0 0 0 0 0 0 
_1.ptx 266 : 1003 10031 0 0 0 0 0 0 0 
_1.ptx 67 : 1024 7424 0 0 0 0 0 0 0 
_1.ptx 267 : 1003 10036 0 0 0 0 0 0 0 
_1.ptx 68 : 1024 282496 128 0 0 0 0 0 0 
_1.ptx 268 : 1003 8033 0 0 0 0 0 0 0 
_1.ptx 69 : 1024 8320 0 0 0 0 0 0 0 
_1.ptx 269 : 1003 3796 0 0 0 0 0 0 51 
_1.ptx 70 : 1024 168 0 0 0 0 0 0 1 
_1.ptx 72 : 1000 6384 0 0 0 0 0 0 0 
_1.ptx 272 : 28704 182352 0 0 0 0 0 0 0 
_1.ptx 73 : 1000 3176 0 0 0 0 0 0 0 
_1.ptx 74 : 1000 10704 0 0 0 0 0 0 0 
_1.ptx 75 : 1000 11288 0 0 0 0 0 0 0 
_1.ptx 76 : 1000 5160 4000 0 0 32 32 0 0 
_1.ptx 79 : 1024 6624 0 0 0 0 0 0 0 
_1.ptx 99 : 28704 172224 0 0 0 0 0 0 0 
_1.ptx 100 : 28704 172224 0 0 0 0 0 0 0 
_1.ptx 101 : 28704 593247 0 0 0 0 0 0 0 
_1.ptx 102 : 28704 181288 0 0 0 0 0 0 0 
_1.ptx 103 : 28704 345760 0 0 0 0 0 0 0 
_1.ptx 104 : 28704 258056 0 0 0 0 0 0 0 
_1.ptx 105 : 28704 246600 0 0 0 0 0 0 0 
_1.ptx 106 : 28704 228826 0 0 0 0 0 0 0 
_1.ptx 107 : 28704 356448 0 0 0 0 0 0 0 
_1.ptx 108 : 28704 312252 0 0 0 0 0 0 0 
_1.ptx 109 : 28704 226356 0 0 0 0 0 0 0 
_1.ptx 110 : 28704 145681 0 0 0 0 0 0 0 
_1.ptx 111 : 28704 831264 128 0 0 992 992 0 0 
_1.ptx 112 : 28704 239396 0 0 0 0 0 0 0 
_1.ptx 113 : 28704 7524 0 0 0 0 0 0 2 
_1.ptx 114 : 27584 181778 0 0 0 0 0 0 0 
_1.ptx 117 : 1120 9508 0 0 0 0 0 0 0 
_1.ptx 118 : 1120 6912 0 0 0 0 0 0 0 
_1.ptx 120 : 160 1260 0 0 0 0 0 0 0 
_1.ptx 123 : 1120 9036 0 0 0 0 0 0 0 
_1.ptx 124 : 1120 9964 0 0 0 0 0 0 0 
_1.ptx 125 : 1120 0 0 0 0 0 0 0 0 
_1.ptx 126 : 1120 12748 0 0 0 0 0 0 0 
_1.ptx 127 : 1120 3360 0 0 0 0 0 0 0 
_1.ptx 128 : 1120 8224 0 0 0 0 0 0 0 
_1.ptx 129 : 1120 12463 0 0 0 0 0 0 0 
_1.ptx 130 : 1120 12736 0 0 0 0 0 0 0 
_1.ptx 131 : 1120 8084 0 0 0 0 0 0 0 
_1.ptx 132 : 1120 3360 0 0 0 0 0 0 0 
_1.ptx 133 : 1120 8329 0 0 0 0 0 0 0 
_1.ptx 134 : 1120 6818 0 0 0 0 0 0 0 
_1.ptx 135 : 1120 6946 0 0 0 0 0 0 0 
_1.ptx 136 : 1120 8017 0 0 0 0 0 0 0 
