kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 215 : 116736 700416 0 0 0 0 0 0 0 
_1.ptx 216 : 116736 700416 0 0 0 0 0 0 0 
_1.ptx 217 : 116736 2165504 0 0 0 0 0 0 0 
_1.ptx 218 : 116736 700416 0 0 0 0 0 0 0 
_1.ptx 219 : 116736 1295264 0 0 0 0 0 0 0 
_1.ptx 220 : 116736 877248 0 0 0 0 0 0 0 
_1.ptx 221 : 116736 565472 0 0 0 0 0 0 0 
_1.ptx 222 : 116736 955008 0 0 0 0 0 0 0 
_1.ptx 223 : 116736 759992 0 0 0 0 0 0 114 
_1.ptx 224 : 2736 17136 0 0 0 0 0 0 0 
_1.ptx 227 : 114000 1235544 0 0 0 0 0 0 0 
_1.ptx 228 : 114000 351776 0 0 0 0 0 0 0 
_1.ptx 229 : 114000 367464 0 0 0 0 0 0 0 
_1.ptx 230 : 114000 1267504 0 0 0 0 0 0 0 
_1.ptx 231 : 114000 1040424 0 0 0 3648 3648 0 0 
_1.ptx 232 : 114000 1172456 0 0 0 0 0 0 0 
_1.ptx 233 : 114000 937680 0 0 0 0 0 0 0 
_1.ptx 234 : 114000 168659 0 0 0 0 0 0 2246 
_1.ptx 235 : 87681 561380 0 0 0 0 0 0 0 
_1.ptx 238 : 26319 171349 0 0 0 0 0 0 0 
_1.ptx 239 : 26319 281151 0 0 0 0 0 0 0 
_1.ptx 240 : 26319 291763 0 0 0 0 0 0 0 
_1.ptx 241 : 26319 4331105 0 0 0 4086 2246 0 0 
_1.ptx 243 : 26319 4355373 0 0 0 4878 2246 0 0 
_1.ptx 244 : 26319 214063 0 0 0 0 0 0 0 
_1.ptx 245 : 26319 0 0 0 0 0 0 0 0 
_1.ptx 246 : 26319 291964 0 0 0 0 0 0 0 
_1.ptx 247 : 26319 966658 0 0 0 0 0 0 0 
_1.ptx 248 : 26319 298188 0 0 0 0 0 0 0 
_1.ptx 249 : 26319 293462 0 0 0 0 0 0 0 
_1.ptx 250 : 26319 308396 0 0 0 0 0 0 0 
_1.ptx 251 : 26319 292996 0 0 0 0 0 0 0 
_1.ptx 252 : 26319 1185452 0 0 0 0 0 0 0 
_1.ptx 253 : 26319 164309 0 0 0 0 0 0 0 
_1.ptx 254 : 26319 191606 0 0 0 0 0 0 0 
_1.ptx 258 : 830149 82538547 0 0 0 817659 151597 0 0 
_1.ptx 259 : 830149 8548423 0 0 0 0 0 0 0 
_1.ptx 261 : 830149 11287567 0 0 0 0 0 0 0 
_1.ptx 263 : 830149 9525894 0 0 0 0 0 0 0 
_1.ptx 264 : 830149 18071454 0 0 0 700328 151597 0 0 
_1.ptx 66 : 29696 178176 0 0 0 0 0 0 0 
_1.ptx 266 : 830149 13576457 0 0 0 0 0 0 0 
_1.ptx 67 : 29696 178176 0 0 0 0 0 0 0 
_1.ptx 68 : 29696 550496 0 0 0 0 0 0 0 
_1.ptx 268 : 830149 6984004 0 0 0 0 0 0 0 
_1.ptx 69 : 29696 178176 0 0 0 0 0 0 0 
_1.ptx 269 : 830149 4449207 0 0 0 0 0 0 47377 
_1.ptx 70 : 29696 329280 0 0 0 0 0 0 0 
_1.ptx 71 : 29696 220960 0 0 0 0 0 0 0 
_1.ptx 271 : 145355 1029179 0 0 0 0 0 0 0 
_1.ptx 72 : 29696 390880 128 0 0 0 0 0 0 
_1.ptx 272 : 145355 1181172 0 0 0 0 0 0 0 
_1.ptx 73 : 29696 244864 0 0 0 0 0 0 0 
_1.ptx 273 : 145355 1724981 0 0 0 0 0 0 0 
_1.ptx 74 : 29696 4320 0 0 0 0 0 0 29 
_1.ptx 274 : 145355 1424196 0 0 0 80369 80369 0 0 
_1.ptx 275 : 145355 1192723 0 0 0 0 0 0 0 
_1.ptx 76 : 29000 301968 0 0 0 0 0 0 0 
_1.ptx 276 : 145355 1734126 0 0 0 0 0 0 0 
_1.ptx 77 : 29000 135160 0 0 0 0 0 0 0 
_1.ptx 277 : 145355 2304666 0 0 0 139916 80369 0 0 
_1.ptx 78 : 29000 324328 0 0 0 0 0 0 0 
_1.ptx 278 : 145355 1194001 0 0 0 0 0 0 0 
_1.ptx 79 : 29000 181336 0 0 0 0 0 0 0 
_1.ptx 279 : 145355 6755988 0 0 0 0 0 0 0 
_1.ptx 80 : 29000 229360 4000 0 0 928 928 0 0 
_1.ptx 280 : 145355 1198371 0 0 0 0 0 0 0 
_1.ptx 82 : 29000 180768 0 0 0 0 0 0 0 
_1.ptx 282 : 145355 991840 0 0 0 0 0 0 0 
_1.ptx 83 : 29000 324640 0 0 0 0 0 0 0 
_1.ptx 84 : 29000 178384 0 0 0 0 0 0 0 
_1.ptx 284 : 145355 1742641 0 0 0 0 0 0 0 
_1.ptx 85 : 29000 255152 4000 0 0 928 928 0 0 
_1.ptx 285 : 145355 2856341 0 0 0 139916 80369 0 0 
_1.ptx 286 : 145355 1193598 0 0 0 0 0 0 0 
_1.ptx 87 : 29000 176304 0 0 0 0 0 0 0 
_1.ptx 287 : 145355 1098010 0 0 0 0 0 0 0 
_1.ptx 88 : 29000 204072 0 0 0 0 0 0 0 
_1.ptx 288 : 145355 2335422 0 0 0 0 0 0 0 
_1.ptx 89 : 29000 322520 0 0 0 0 0 0 0 
_1.ptx 289 : 145355 2442535 0 0 0 0 0 0 0 
_1.ptx 90 : 29000 289496 4000 0 0 928 928 0 0 
_1.ptx 290 : 145355 1244022 0 0 0 0 0 0 0 
_1.ptx 91 : 29000 255096 0 0 0 0 0 0 0 
_1.ptx 92 : 29000 233408 0 0 0 0 0 0 0 
_1.ptx 292 : 830149 8882540 0 0 0 0 0 0 0 
_1.ptx 93 : 29000 174908 0 0 0 0 0 0 29 
_1.ptx 293 : 830149 7135058 0 0 0 0 0 0 0 
_1.ptx 294 : 830149 5410379 0 0 0 0 0 0 19071 
_1.ptx 95 : 29 183 0 0 0 0 0 0 0 
_1.ptx 295 : 26319 169701 0 0 0 0 0 0 0 
_1.ptx 96 : 29 480 0 0 0 29 29 0 0 
_1.ptx 98 : 29 175 0 0 0 0 0 0 0 
_1.ptx 99 : 29 496 32 0 0 29 29 0 0 
_1.ptx 301 : 26319 295565 0 0 0 0 0 0 0 
_1.ptx 302 : 26319 954089 0 0 0 2246 2246 0 0 
_1.ptx 103 : 29696 178880 0 0 0 0 0 0 0 
_1.ptx 303 : 26319 296016 0 0 0 0 0 0 0 
_1.ptx 304 : 26319 161782 0 0 0 2246 2246 0 0 
_1.ptx 307 : 116736 740736 0 0 0 0 0 0 0 
_1.ptx 120 : 147456 884736 0 0 0 0 0 0 0 
_1.ptx 121 : 147456 884736 0 0 0 0 0 0 0 
_1.ptx 122 : 147456 2733664 0 0 0 0 0 0 0 
_1.ptx 123 : 147456 884736 0 0 0 0 0 0 0 
_1.ptx 124 : 147456 1636320 0 0 0 0 0 0 0 
_1.ptx 125 : 147456 1110848 0 0 0 0 0 0 0 
_1.ptx 325 : 28672 172032 0 0 0 0 0 0 0 
_1.ptx 126 : 147456 1164352 0 0 0 0 0 0 0 
_1.ptx 326 : 28672 172032 0 0 0 0 0 0 0 
_1.ptx 127 : 147456 1199936 0 0 0 0 0 0 0 
_1.ptx 327 : 28672 531552 0 0 0 0 0 0 0 
_1.ptx 128 : 147456 937592 0 0 0 0 0 0 144 
_1.ptx 328 : 28672 172032 0 0 0 0 0 0 0 
_1.ptx 129 : 3456 21000 0 0 0 0 0 0 0 
_1.ptx 329 : 28672 318464 0 0 0 0 0 0 0 
_1.ptx 330 : 28672 215712 0 0 0 0 0 0 0 
_1.ptx 331 : 28672 86016 0 0 0 0 0 0 0 
_1.ptx 132 : 144000 1569368 0 0 0 0 0 0 0 
_1.ptx 332 : 28672 234016 0 0 0 0 0 0 0 
_1.ptx 133 : 144000 454392 0 0 0 0 0 0 0 
_1.ptx 333 : 28672 176896 0 0 0 0 0 0 28 
_1.ptx 134 : 144000 488432 0 0 0 0 0 0 0 
_1.ptx 334 : 672 4032 0 0 0 0 0 0 0 
_1.ptx 135 : 144000 1599152 0 0 0 0 0 0 0 
_1.ptx 136 : 144000 1675584 0 0 0 4608 4608 0 0 
_1.ptx 137 : 144000 1171424 0 0 0 0 0 0 0 
_1.ptx 337 : 28000 84592 0 0 0 0 0 0 0 
_1.ptx 138 : 144000 173180 0 0 0 0 0 0 2640 
_1.ptx 338 : 28000 226888 0 0 0 0 0 0 0 
_1.ptx 139 : 115991 718805 0 0 0 0 0 0 0 
_1.ptx 339 : 28000 171677 0 0 0 0 0 0 28 
_1.ptx 340 : 28 168 0 0 0 0 0 0 0 
_1.ptx 142 : 28009 134818 0 0 0 0 0 0 0 
_1.ptx 143 : 28009 296285 0 0 0 0 0 0 0 
_1.ptx 343 : 27972 292164 0 0 0 0 0 0 0 
_1.ptx 144 : 28009 309696 0 0 0 0 0 0 0 
_1.ptx 344 : 27972 85884 0 0 0 0 0 0 0 
_1.ptx 145 : 28009 5858375 7680 0 0 4723 2640 0 0 
_1.ptx 345 : 27972 309097 0 0 0 0 0 0 0 
_1.ptx 346 : 27972 117899 0 0 0 896 896 0 0 
_1.ptx 147 : 28009 5891170 384 0 0 5563 2640 0 0 
_1.ptx 347 : 27972 174827 0 0 0 0 0 0 0 
_1.ptx 148 : 28009 227697 0 0 0 0 0 0 0 
_1.ptx 348 : 27972 230072 0 0 0 0 0 0 0 
_1.ptx 149 : 28009 0 0 0 0 0 0 0 0 
_1.ptx 349 : 27972 173637 0 0 0 0 0 0 56 
_1.ptx 150 : 28009 310189 0 0 0 0 0 0 0 
_1.ptx 350 : 56 336 0 0 0 0 0 0 0 
_1.ptx 152 : 28009 1228932 0 0 0 0 0 0 0 
_1.ptx 353 : 27916 95928 0 0 0 0 0 0 0 
_1.ptx 154 : 28009 283506 0 0 0 0 0 0 0 
_1.ptx 354 : 27916 310380 0 0 0 0 0 0 0 
_1.ptx 155 : 28009 899571 0 0 0 0 0 0 0 
_1.ptx 355 : 27916 5167121 4096 0 0 896 896 0 0 
_1.ptx 156 : 28009 308176 0 0 0 0 0 0 0 
_1.ptx 356 : 27916 106174 0 0 0 0 0 0 0 
_1.ptx 157 : 28009 312469 0 0 0 0 0 0 0 
_1.ptx 357 : 27916 308771 0 0 0 0 0 0 0 
_1.ptx 158 : 28009 317253 0 0 0 0 0 0 0 
_1.ptx 358 : 27916 3165549 0 0 0 896 896 0 0 
_1.ptx 159 : 28009 313153 0 0 0 0 0 0 0 
_1.ptx 359 : 27916 307204 0 0 0 0 0 0 0 
_1.ptx 160 : 28009 203476 0 0 0 0 0 0 0 
_1.ptx 360 : 27916 139644 0 0 0 896 896 0 0 
_1.ptx 363 : 28672 172032 0 0 0 0 0 0 0 
_1.ptx 164 : 837857 88553515 238336 0 0 825000 155346 0 0 
_1.ptx 165 : 837857 8458852 0 0 0 0 0 0 0 
_1.ptx 167 : 837857 14471507 0 0 0 0 0 0 0 
_1.ptx 169 : 837857 9271290 0 0 0 0 0 0 0 
_1.ptx 170 : 837857 21039458 0 0 0 707159 155346 0 0 
_1.ptx 171 : 837857 5095088 0 0 0 0 0 0 0 
_1.ptx 172 : 837857 6756030 0 0 0 0 0 0 0 
_1.ptx 173 : 837857 4923621 0 0 0 0 0 0 16615 
_1.ptx 175 : 29022 250793 0 0 0 28702 25056 0 0 
_1.ptx 177 : 29022 175667 0 0 0 0 0 0 0 
_1.ptx 178 : 29022 192016 0 0 0 0 0 0 0 
_1.ptx 179 : 29022 222338 32 0 0 25056 25056 0 0 
_1.ptx 180 : 29022 209156 0 0 0 28702 25056 0 0 
_1.ptx 182 : 837857 6763964 0 0 0 0 0 0 0 
_1.ptx 183 : 837857 4188616 0 0 0 0 0 0 47728 
_1.ptx 185 : 148478 1091920 0 0 0 0 0 0 0 
_1.ptx 186 : 148478 1641976 0 0 0 0 0 0 0 
_1.ptx 187 : 148478 1648512 0 0 0 0 0 0 0 
_1.ptx 188 : 148478 1657319 0 0 0 82289 82289 0 0 
_1.ptx 189 : 148478 23319086 0 0 0 146096 82289 0 0 
_1.ptx 191 : 837857 8452868 0 0 0 0 0 0 0 
_1.ptx 192 : 837857 6768697 0 0 0 0 0 0 0 
_1.ptx 193 : 837857 4919144 0 0 0 0 0 0 19547 
_1.ptx 196 : 147456 896832 0 0 0 0 0 0 0 
