kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 200 : 26835 189518 0 0 0 0 0 0 0 
_1.ptx 202 : 26835 189683 0 0 0 0 0 0 0 
_1.ptx 204 : 53670 1703548 0 0 0 0 0 0 0 
_1.ptx 205 : 53670 1460758 0 0 0 0 0 0 0 
_1.ptx 206 : 53670 384664 0 0 0 0 0 0 0 
_1.ptx 207 : 53670 337496 0 0 0 0 0 0 0 
_1.ptx 208 : 53670 433982 0 0 0 0 0 0 0 
_1.ptx 209 : 53670 136950 0 0 0 0 0 0 0 
_1.ptx 211 : 31042 316719 0 0 0 0 0 0 0 
_1.ptx 213 : 31042 1198086 0 0 0 0 0 0 0 
_1.ptx 215 : 31042 343721 0 0 0 0 0 0 0 
_1.ptx 216 : 31042 3636313 0 0 0 12437 1492 0 0 
_1.ptx 217 : 31042 189718 0 0 0 0 0 0 0 
_1.ptx 220 : 22628 229405 0 0 0 0 0 0 0 
_1.ptx 222 : 22628 523164 0 0 0 0 0 0 0 
_1.ptx 224 : 22628 250638 0 0 0 0 0 0 0 
_1.ptx 225 : 22628 844911 0 0 0 2198 959 0 0 
_1.ptx 228 : 53670 326578 0 0 0 0 0 0 0 
_1.ptx 229 : 53670 2911613 0 0 0 0 0 0 0 
_1.ptx 230 : 53670 1822461 128 0 0 2451 2451 0 0 
_1.ptx 231 : 53670 325604 0 0 0 0 0 0 0 
_1.ptx 234 : 29790 179964 0 0 0 0 0 0 0 
_1.ptx 235 : 29790 805224 0 0 0 4307 2413 0 0 
_1.ptx 239 : 178740 1832616 0 0 0 0 0 0 0 
_1.ptx 240 : 178740 1461408 0 0 0 0 0 0 0 
_1.ptx 241 : 178740 560668 0 0 0 0 0 0 0 
_1.ptx 244 : 92160 585120 0 0 0 0 0 0 0 
_1.ptx 259 : 12288 73728 0 0 0 0 0 0 0 
_1.ptx 260 : 12288 73728 0 0 0 0 0 0 0 
_1.ptx 261 : 12288 228032 0 0 0 0 0 0 0 
_1.ptx 262 : 12288 73728 0 0 0 0 0 0 0 
_1.ptx 263 : 12288 135872 0 0 0 0 0 0 0 
_1.ptx 264 : 12288 91648 0 0 0 0 0 0 0 
_1.ptx 65 : 1024 6144 0 0 0 0 0 0 0 
_1.ptx 265 : 12288 36864 0 0 0 0 0 0 0 
_1.ptx 66 : 1024 6144 0 0 0 0 0 0 0 
_1.ptx 266 : 12288 92224 0 0 0 0 0 0 0 
_1.ptx 67 : 1024 19008 0 0 0 0 0 0 0 
_1.ptx 267 : 12288 99456 0 0 0 0 0 0 0 
_1.ptx 68 : 1024 6144 0 0 0 0 0 0 0 
_1.ptx 268 : 12288 75200 0 0 0 0 0 0 12 
_1.ptx 69 : 1024 11328 0 0 0 0 0 0 0 
_1.ptx 269 : 288 1728 0 0 0 0 0 0 0 
_1.ptx 70 : 1024 7424 0 0 0 0 0 0 0 
_1.ptx 71 : 1024 282496 128 0 0 0 0 0 0 
_1.ptx 72 : 1024 8192 0 0 0 0 0 0 0 
_1.ptx 272 : 12000 139640 0 0 0 0 0 0 0 
_1.ptx 73 : 1024 6128 0 0 0 0 0 0 1 
_1.ptx 273 : 12000 41568 0 0 0 0 0 0 0 
_1.ptx 74 : 24 144 0 0 0 0 0 0 0 
_1.ptx 274 : 12000 133312 0 0 0 0 0 0 0 
_1.ptx 275 : 12000 2802168 0 0 0 756 384 0 0 
_1.ptx 276 : 12000 61936 0 0 0 0 0 0 0 
_1.ptx 77 : 1000 11616 0 0 0 0 0 0 0 
_1.ptx 277 : 12000 132160 0 0 0 0 0 0 0 
_1.ptx 78 : 1000 3880 0 0 0 0 0 0 0 
_1.ptx 278 : 12000 71904 0 0 0 756 384 0 0 
_1.ptx 79 : 1000 11000 0 0 0 0 0 0 0 
_1.ptx 80 : 1000 19736 8000 0 0 63 32 0 0 
_1.ptx 281 : 12288 73728 0 0 0 0 0 0 0 
_1.ptx 82 : 1000 15504 0 0 0 0 0 0 0 
_1.ptx 83 : 1000 11000 0 0 0 0 0 0 0 
_1.ptx 84 : 1000 8712 8000 0 0 63 32 0 0 
_1.ptx 86 : 1000 7304 0 0 0 0 0 0 0 
_1.ptx 87 : 1000 11032 0 0 0 0 0 0 0 
_1.ptx 88 : 1000 386992 6016 0 0 63 32 0 0 
_1.ptx 90 : 1000 385296 2048 0 0 94 32 0 0 
_1.ptx 92 : 1000 7416 0 0 0 0 0 0 0 
_1.ptx 93 : 1000 8104 0 0 0 0 0 0 0 
_1.ptx 94 : 1000 12 0 0 0 0 0 0 2 
_1.ptx 95 : 998 11010 0 0 0 0 0 0 0 
_1.ptx 96 : 998 2994 0 0 0 0 0 0 0 
_1.ptx 296 : 6144 36864 0 0 0 0 0 0 0 
_1.ptx 97 : 998 10204 0 0 0 0 0 0 0 
_1.ptx 297 : 6144 36864 0 0 0 0 0 0 0 
