kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 1024 11328 0 0 0 0 0 0 0 
_1.ptx 98 : 1024 7424 0 0 0 0 0 0 0 
_1.ptx 99 : 1024 146304 0 0 0 0 0 0 0 
_1.ptx 100 : 1024 8192 0 0 0 0 0 0 0 
_1.ptx 101 : 1024 6128 0 0 0 0 0 0 1 
_1.ptx 102 : 24 144 0 0 0 0 0 0 0 
_1.ptx 105 : 1000 4152 0 0 0 0 0 0 0 
_1.ptx 106 : 1000 10512 0 0 0 0 0 0 0 
_1.ptx 107 : 1000 11000 0 0 0 0 0 0 0 
_1.ptx 108 : 1000 348912 6016 0 0 63 32 0 0 
_1.ptx 110 : 1000 354280 2048 0 0 94 32 0 0 
_1.ptx 111 : 1000 8032 0 0 0 0 0 0 0 
_1.ptx 112 : 1000 12 0 0 0 0 0 0 2 
_1.ptx 113 : 998 11010 0 0 0 0 0 0 0 
_1.ptx 114 : 998 2994 0 0 0 0 0 0 0 
_1.ptx 115 : 998 16125 0 0 0 0 0 0 0 
_1.ptx 116 : 998 11018 0 0 0 0 0 0 0 
_1.ptx 117 : 998 20223 0 0 0 0 0 0 0 
_1.ptx 118 : 998 10978 0 0 0 0 0 0 0 
_1.ptx 119 : 998 212944 0 0 0 0 0 0 0 
_1.ptx 120 : 998 7240 0 0 0 0 0 0 0 
_1.ptx 124 : 29790 9440641 238336 0 0 28872 2907 0 0 
_1.ptx 125 : 29790 299077 0 0 0 0 0 0 0 
_1.ptx 127 : 29790 1791204 0 0 0 0 0 0 0 
_1.ptx 129 : 29790 329803 0 0 0 0 0 0 0 
_1.ptx 130 : 29790 179719 0 0 0 0 0 0 0 
_1.ptx 131 : 29790 13818865 0 0 0 26453 2907 0 0 
_1.ptx 132 : 29790 298274 0 0 0 0 0 0 0 
_1.ptx 133 : 29790 239756 0 0 0 0 0 0 0 
_1.ptx 134 : 29790 172879 0 0 0 0 0 0 694 
_1.ptx 137 : 1024 6144 0 0 0 0 0 0 0 
_1.ptx 62 : 1024 6144 0 0 0 0 0 0 0 
_1.ptx 63 : 1024 6144 0 0 0 0 0 0 0 
_1.ptx 64 : 1024 19008 0 0 0 0 0 0 0 
_1.ptx 65 : 1024 6144 0 0 0 0 0 0 0 
_1.ptx 66 : 1024 11328 0 0 0 0 0 0 0 
_1.ptx 67 : 1024 7424 0 0 0 0 0 0 0 
_1.ptx 68 : 1024 282496 128 0 0 0 0 0 0 
_1.ptx 69 : 1024 8320 0 0 0 0 0 0 0 
_1.ptx 70 : 1024 168 0 0 0 0 0 0 1 
_1.ptx 72 : 1000 6384 0 0 0 0 0 0 0 
_1.ptx 73 : 1000 3176 0 0 0 0 0 0 0 
_1.ptx 74 : 1000 10704 0 0 0 0 0 0 0 
_1.ptx 75 : 1000 11288 0 0 0 0 0 0 0 
_1.ptx 76 : 1000 5160 4000 0 0 32 32 0 0 
_1.ptx 79 : 1024 6624 0 0 0 0 0 0 0 
_1.ptx 93 : 1024 6144 0 0 0 0 0 0 0 
_1.ptx 94 : 1024 6144 0 0 0 0 0 0 0 
_1.ptx 95 : 1024 19008 0 0 0 0 0 0 0 
_1.ptx 96 : 1024 6144 0 0 0 0 0 0 0 
