kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 88064 528384 0 0 0 0 0 0 0 
_1.ptx 195 : 88064 543616 0 0 0 0 0 0 0 
_1.ptx 98 : 88064 1632576 0 0 0 0 0 0 0 
_1.ptx 99 : 88064 528384 0 0 0 0 0 0 0 
_1.ptx 100 : 88064 977728 0 0 0 0 0 0 0 
_1.ptx 101 : 88064 661568 0 0 0 0 0 0 0 
_1.ptx 102 : 88064 1197184 0 0 0 0 0 0 0 
_1.ptx 103 : 88064 719360 0 0 0 0 0 0 0 
_1.ptx 104 : 88064 563472 0 0 0 0 0 0 86 
_1.ptx 105 : 2064 12720 0 0 0 0 0 0 0 
_1.ptx 108 : 86000 923424 0 0 0 0 0 0 0 
_1.ptx 109 : 86000 271576 0 0 0 0 0 0 0 
_1.ptx 110 : 86000 956424 0 0 0 0 0 0 0 
_1.ptx 111 : 86000 1682392 0 0 0 2752 2752 0 0 
_1.ptx 112 : 86000 543320 0 0 0 0 0 0 0 
_1.ptx 113 : 86000 706632 0 0 0 0 0 0 0 
_1.ptx 114 : 86000 339054 0 0 0 0 0 0 2422 
_1.ptx 116 : 32173 135322 0 0 0 0 0 0 0 
_1.ptx 117 : 32173 385521 0 0 0 0 0 0 0 
_1.ptx 118 : 32173 357193 0 0 0 0 0 0 0 
_1.ptx 119 : 32173 6706742 6016 0 0 4654 2475 0 0 
_1.ptx 121 : 32173 6766185 2048 0 0 5635 2475 0 0 
_1.ptx 123 : 32173 259562 0 0 0 0 0 0 0 
_1.ptx 124 : 32173 354697 0 0 0 0 0 0 0 
_1.ptx 125 : 32173 1642628 4096 0 0 2475 2475 0 0 
_1.ptx 127 : 32173 232505 0 0 0 0 0 0 0 
_1.ptx 128 : 32173 260723 0 0 0 0 0 0 0 
_1.ptx 129 : 32173 12 0 0 0 0 0 0 2 
_1.ptx 130 : 32171 354933 0 0 0 0 0 0 0 
_1.ptx 131 : 32171 1238620 0 0 0 0 0 0 0 
_1.ptx 132 : 32171 996063 0 0 0 0 0 0 0 
_1.ptx 133 : 32171 230547 0 0 0 0 0 0 0 
_1.ptx 137 : 163048 1672132 0 0 0 0 0 0 0 
_1.ptx 139 : 163048 1628359 0 0 0 0 0 0 0 
_1.ptx 141 : 163048 1808807 0 0 0 0 0 0 0 
_1.ptx 142 : 163048 15979798 238336 0 0 157334 103079 0 0 
_1.ptx 144 : 163048 1668167 0 0 0 0 0 0 0 
_1.ptx 146 : 163048 2219359 0 0 0 0 0 0 0 
_1.ptx 148 : 163048 1818716 0 0 0 0 0 0 0 
_1.ptx 149 : 163048 3074446 0 0 0 151388 103079 0 0 
_1.ptx 151 : 163048 1622247 0 0 0 0 0 0 0 
_1.ptx 153 : 163048 1326255 0 0 0 0 0 0 0 
_1.ptx 154 : 163048 417413 0 0 0 0 0 0 7903 
_1.ptx 156 : 95481 552431 0 0 0 0 0 0 0 
_1.ptx 158 : 95481 1060736 0 0 0 0 0 0 0 
_1.ptx 159 : 95481 1783480 0 0 0 87999 58875 0 0 
_1.ptx 62 : 1024 6144 0 0 0 0 0 0 0 
_1.ptx 160 : 95481 776845 0 0 0 0 0 0 0 
_1.ptx 63 : 1024 6144 0 0 0 0 0 0 0 
_1.ptx 161 : 95481 195981 0 0 0 0 0 0 6218 
_1.ptx 64 : 1024 19008 0 0 0 0 0 0 0 
_1.ptx 162 : 64308 523980 0 0 0 0 0 0 0 
_1.ptx 65 : 1024 6144 0 0 0 0 0 0 0 
_1.ptx 163 : 64308 399394 0 0 0 0 0 0 0 
_1.ptx 66 : 1024 11328 0 0 0 0 0 0 0 
_1.ptx 67 : 1024 7424 0 0 0 0 0 0 0 
_1.ptx 68 : 1024 282496 128 0 0 0 0 0 0 
_1.ptx 69 : 1024 8320 0 0 0 0 0 0 0 
_1.ptx 70 : 1024 168 0 0 0 0 0 0 1 
_1.ptx 168 : 31173 194748 0 0 0 0 0 0 0 
_1.ptx 169 : 31173 198425 0 0 0 0 0 0 0 
_1.ptx 72 : 1000 6384 0 0 0 0 0 0 0 
_1.ptx 73 : 1000 3176 0 0 0 0 0 0 0 
_1.ptx 74 : 1000 10704 0 0 0 0 0 0 0 
_1.ptx 75 : 1000 11288 0 0 0 0 0 0 0 
_1.ptx 76 : 1000 5160 4000 0 0 32 32 0 0 
_1.ptx 174 : 131875 1340240 0 0 0 0 0 0 0 
_1.ptx 175 : 131875 1074189 0 0 0 0 0 0 0 
_1.ptx 176 : 131875 810334 0 0 0 0 0 0 183 
_1.ptx 79 : 1024 6624 0 0 0 0 0 0 0 
_1.ptx 178 : 1000 6165 0 0 0 0 0 0 0 
_1.ptx 181 : 32173 197699 0 0 0 0 0 0 0 
_1.ptx 182 : 32173 261210 0 0 0 0 0 0 0 
_1.ptx 183 : 32173 191648 0 0 0 0 0 0 712 
_1.ptx 185 : 1000 3277 0 0 0 0 0 0 0 
_1.ptx 186 : 1000 5203 0 0 0 744 744 0 0 
_1.ptx 187 : 1000 6074 0 0 0 0 0 0 0 
_1.ptx 190 : 31173 192223 0 0 0 0 0 0 0 
_1.ptx 191 : 31173 100541 0 0 0 0 0 0 0 
_1.ptx 192 : 31173 165117 64 0 0 2443 2443 0 0 
_1.ptx 96 : 88064 528384 0 0 0 0 0 0 0 
