kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 199 : 51540 360886 0 0 0 0 0 0 0 
_1.ptx 201 : 51540 571672 0 0 0 0 0 0 0 
_1.ptx 202 : 51540 1334908 0 0 0 32606 2729 0 0 
_1.ptx 203 : 51540 417333 0 0 0 0 0 0 0 
_1.ptx 204 : 51540 308835 0 0 0 0 0 0 486 
_1.ptx 206 : 1729 317339 0 0 0 1457 535 0 0 
_1.ptx 207 : 1729 12262 0 0 0 0 0 0 0 
_1.ptx 208 : 1729 13974 0 0 0 0 0 0 0 
_1.ptx 209 : 1729 316 0 0 0 0 0 0 23 
_1.ptx 211 : 1677 16829 0 0 0 0 0 0 0 
_1.ptx 212 : 1677 11954 0 0 0 0 0 0 0 
_1.ptx 213 : 1677 17080 0 0 0 0 0 0 0 
_1.ptx 214 : 1677 18501 0 0 0 0 0 0 0 
_1.ptx 215 : 1677 17937 16768 0 0 0 0 0 0 
_1.ptx 217 : 1729 10476 0 0 0 0 0 0 0 
_1.ptx 218 : 1729 13945 0 0 0 0 0 0 0 
_1.ptx 219 : 1729 10566 0 0 0 0 0 0 0 
_1.ptx 254 : 51540 520530 0 0 0 0 0 0 0 
_1.ptx 255 : 51540 520673 0 0 0 0 0 0 0 
_1.ptx 256 : 51540 419330 0 0 0 0 0 0 0 
_1.ptx 257 : 51540 123712 0 0 0 0 0 0 655 
_1.ptx 259 : 53665 543818 0 0 0 0 0 0 0 
_1.ptx 260 : 53665 543146 0 0 0 0 0 0 0 
_1.ptx 261 : 53665 438063 0 0 0 0 0 0 0 
_1.ptx 262 : 53665 321479 0 0 0 0 0 0 0 
_1.ptx 263 : 1761 10726 0 0 0 0 0 0 0 
_1.ptx 64 : 1024 6144 0 0 0 0 0 0 0 
_1.ptx 65 : 1024 6144 0 0 0 0 0 0 0 
_1.ptx 66 : 1024 19008 0 0 0 0 0 0 0 
_1.ptx 67 : 1024 6144 0 0 0 0 0 0 0 
_1.ptx 68 : 1024 11328 0 0 0 0 0 0 0 
_1.ptx 69 : 1024 7424 0 0 0 0 0 0 0 
_1.ptx 269 : 1761 457946 128 0 0 1761 67 0 0 
_1.ptx 70 : 1024 282496 128 0 0 0 0 0 0 
_1.ptx 270 : 1761 12423 0 0 0 0 0 0 0 
_1.ptx 71 : 1024 8384 0 0 0 0 0 0 0 
_1.ptx 271 : 1761 10598 0 0 0 0 0 0 0 
_1.ptx 72 : 1024 144 0 0 0 0 0 0 1 
_1.ptx 272 : 1761 14152 0 0 0 0 0 0 0 
_1.ptx 273 : 1761 6586 0 0 0 0 0 0 43 
_1.ptx 74 : 1000 10872 0 0 0 0 0 0 0 
_1.ptx 274 : 675 4741 0 0 0 0 0 0 0 
_1.ptx 75 : 1000 6384 0 0 0 0 0 0 0 
_1.ptx 275 : 675 4784 0 0 0 0 0 0 0 
_1.ptx 76 : 1000 3192 0 0 0 0 0 0 0 
_1.ptx 276 : 675 7444 0 0 0 0 0 0 0 
_1.ptx 77 : 1000 11320 0 0 0 0 0 0 0 
_1.ptx 277 : 675 4105 0 0 0 0 0 0 0 
_1.ptx 78 : 1000 5128 4000 0 0 32 32 0 0 
_1.ptx 278 : 675 4448 0 0 0 0 0 0 0 
_1.ptx 279 : 675 4784 0 0 0 0 0 0 0 
_1.ptx 80 : 1000 6064 0 0 0 0 0 0 0 
_1.ptx 81 : 1000 3616 0 0 0 0 0 0 0 
_1.ptx 82 : 1000 11064 0 0 0 0 0 0 0 
_1.ptx 83 : 1000 6392 4000 0 0 32 32 0 0 
_1.ptx 283 : 1677 301838 0 0 0 0 0 0 0 
_1.ptx 284 : 1677 11817 0 0 0 0 0 0 0 
_1.ptx 285 : 1677 16950 0 0 0 0 0 0 0 
_1.ptx 86 : 1024 6144 0 0 0 0 0 0 0 
_1.ptx 287 : 1677 14467 0 0 0 0 0 0 0 
_1.ptx 289 : 1677 18522 0 0 0 0 0 0 0 
_1.ptx 290 : 1677 24687 10336 0 0 628 191 0 0 
_1.ptx 291 : 1677 16786 0 0 0 0 0 0 0 
_1.ptx 292 : 1677 16792 0 0 0 0 0 0 0 
_1.ptx 293 : 1677 13434 0 0 0 0 0 0 0 
_1.ptx 294 : 1677 6013 0 0 0 0 0 0 84 
_1.ptx 297 : 42305 268749 0 0 0 0 0 0 0 
_1.ptx 107 : 42305 257702 0 0 0 0 0 0 0 
_1.ptx 108 : 42305 256838 0 0 0 0 0 0 0 
_1.ptx 109 : 42305 843553 0 0 0 0 0 0 0 
_1.ptx 110 : 42305 265062 0 0 0 0 0 0 0 
_1.ptx 111 : 42305 503179 0 0 0 0 0 0 0 
_1.ptx 112 : 42305 369365 0 0 0 0 0 0 0 
_1.ptx 113 : 42305 350908 0 0 0 0 0 0 0 
_1.ptx 313 : 2346 14076 0 0 0 0 0 0 0 
_1.ptx 114 : 42305 325123 0 0 0 0 0 0 0 
_1.ptx 314 : 2346 14076 0 0 0 0 0 0 0 
_1.ptx 115 : 42305 552441 0 0 0 0 0 0 0 
_1.ptx 315 : 2346 41770 0 0 0 0 0 0 0 
_1.ptx 116 : 42305 450449 0 0 0 0 0 0 0 
_1.ptx 316 : 2346 14076 0 0 0 0 0 0 0 
_1.ptx 117 : 42305 324117 0 0 0 0 0 0 0 
_1.ptx 317 : 2346 25966 0 0 0 0 0 0 0 
_1.ptx 118 : 42305 225476 0 0 0 0 0 0 0 
_1.ptx 318 : 2346 16902 0 0 0 0 0 0 0 
_1.ptx 119 : 42305 1197742 128 0 0 1377 1377 0 0 
_1.ptx 319 : 2346 8242 0 0 0 0 0 0 0 
_1.ptx 120 : 42305 346482 0 0 0 0 0 0 0 
_1.ptx 320 : 2346 52854 0 0 0 75 75 0 0 
_1.ptx 121 : 42305 12390 0 0 0 0 0 0 2 
_1.ptx 122 : 40544 263612 0 0 0 0 0 0 0 
_1.ptx 321 : 2346 16902 0 0 0 0 0 0 0 
_1.ptx 322 : 2346 18928 0 0 0 0 0 0 0 
