kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 62 : 1024 6144 0 0 0 0 0 0 0 
_1.ptx 63 : 1024 6144 0 0 0 0 0 0 0 
_1.ptx 64 : 1024 19008 0 0 0 0 0 0 0 
_1.ptx 65 : 1024 6144 0 0 0 0 0 0 0 
_1.ptx 66 : 1024 11328 0 0 0 0 0 0 0 
_1.ptx 67 : 1024 7424 0 0 0 0 0 0 0 
_1.ptx 68 : 1024 282496 128 0 0 0 0 0 0 
_1.ptx 69 : 1024 8320 0 0 0 0 0 0 0 
_1.ptx 70 : 1024 168 0 0 0 0 0 0 1 
_1.ptx 72 : 1000 6384 0 0 0 0 0 0 0 
_1.ptx 73 : 1000 3176 0 0 0 0 0 0 0 
_1.ptx 74 : 1000 10704 0 0 0 0 0 0 0 
_1.ptx 75 : 1000 11288 0 0 0 0 0 0 0 
_1.ptx 76 : 1000 5160 4000 0 0 32 32 0 0 
_1.ptx 79 : 1024 6624 0 0 0 0 0 0 0 
_1.ptx 94 : 1024 6144 0 0 0 0 0 0 0 
_1.ptx 95 : 1024 6144 0 0 0 0 0 0 0 
_1.ptx 96 : 1024 19008 0 0 0 0 0 0 0 
_1.ptx 97 : 1024 6144 0 0 0 0 0 0 0 
_1.ptx 98 : 1024 11328 0 0 0 0 0 0 0 
_1.ptx 99 : 1024 7424 0 0 0 0 0 0 0 
_1.ptx 100 : 1024 146304 0 0 0 0 0 0 0 
_1.ptx 101 : 1024 8192 0 0 0 0 0 0 0 
_1.ptx 102 : 1024 6128 0 0 0 0 0 0 1 
_1.ptx 103 : 24 264 0 0 0 0 0 0 0 
_1.ptx 106 : 1000 3968 0 0 0 0 0 0 0 
_1.ptx 107 : 1000 10512 0 0 0 0 0 0 0 
_1.ptx 108 : 1000 11000 0 0 0 0 0 0 0 
_1.ptx 109 : 1000 333808 6272 0 0 63 32 0 0 
_1.ptx 111 : 1000 336392 1792 0 0 94 32 0 0 
_1.ptx 112 : 1000 322888 0 0 0 63 32 0 0 
_1.ptx 113 : 1000 11032 0 0 0 0 0 0 0 
_1.ptx 115 : 1000 6000 0 0 0 0 0 0 0 
_1.ptx 116 : 1000 6296 0 0 0 0 0 0 0 
_1.ptx 117 : 1000 6416 0 0 0 0 0 0 0 
_1.ptx 118 : 1000 7024 0 0 0 0 0 0 0 
_1.ptx 121 : 34047 282373 0 0 0 0 0 0 0 
_1.ptx 122 : 34047 382005 0 0 0 0 0 0 0 
_1.ptx 123 : 34047 306842 0 0 0 0 0 0 0 
_1.ptx 124 : 34047 142249 0 0 0 0 0 0 2882 
_1.ptx 125 : 15258 127718 0 0 0 0 0 0 0 
_1.ptx 126 : 15258 73007 0 0 0 0 0 0 0 
_1.ptx 127 : 15258 159878 0 0 0 0 0 0 0 
_1.ptx 128 : 15258 179428 0 0 0 0 0 0 0 
_1.ptx 129 : 15258 129325 0 0 0 0 0 0 0 
_1.ptx 130 : 15258 170155 0 0 0 0 0 0 0 
_1.ptx 132 : 33047 249755 0 0 0 0 0 0 0 
_1.ptx 133 : 33047 296750 0 0 0 0 0 0 0 
_1.ptx 134 : 33047 246387 0 0 0 0 0 0 0 
_1.ptx 142 : 33047 385129 0 0 0 0 0 0 0 
_1.ptx 143 : 33047 297424 0 0 0 0 0 0 0 
_1.ptx 144 : 33047 385993 0 0 0 0 0 0 0 
_1.ptx 145 : 33047 350811 0 0 0 0 0 0 0 
_1.ptx 146 : 33047 386069 0 0 0 0 0 0 0 
_1.ptx 147 : 33047 3224096 93056 0 0 32682 10367 0 0 
_1.ptx 149 : 33047 346621 0 0 0 0 0 0 0 
_1.ptx 150 : 33047 361284 0 0 0 0 0 0 0 
_1.ptx 152 : 33047 365051 0 0 0 0 0 0 0 
_1.ptx 153 : 33047 347322 0 0 0 0 0 0 0 
