kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 199 : 2048 14336 0 0 0 0 0 0 0 
_1.ptx 200 : 2048 299008 0 0 0 0 0 0 0 
_1.ptx 201 : 2048 16512 0 0 0 0 0 0 0 
_1.ptx 202 : 2048 12000 0 0 0 0 0 0 2 
_1.ptx 203 : 48 288 0 0 0 0 0 0 0 
_1.ptx 206 : 2000 6000 0 0 0 0 0 0 0 
_1.ptx 207 : 2000 22000 0 0 0 0 0 0 0 
_1.ptx 208 : 2000 296784 0 0 0 64 64 0 0 
_1.ptx 209 : 2000 12000 0 0 0 0 0 0 0 
_1.ptx 210 : 2000 16000 0 0 0 0 0 0 0 
_1.ptx 211 : 2000 1292 0 0 0 0 0 0 32 
_1.ptx 212 : 1789 5484 0 0 0 0 0 0 0 
_1.ptx 213 : 1789 19045 0 0 0 0 0 0 0 
_1.ptx 214 : 1789 19982 0 0 0 0 0 0 0 
_1.ptx 215 : 1789 317111 0 0 0 64 64 0 0 
_1.ptx 216 : 1789 12983 0 0 0 0 0 0 0 
_1.ptx 217 : 1789 14344 0 0 0 0 0 0 0 
_1.ptx 218 : 1789 9468 0 0 0 0 0 0 32 
_1.ptx 220 : 211 1280 0 0 0 0 0 0 0 
_1.ptx 221 : 211 5152 0 0 0 32 32 0 0 
_1.ptx 223 : 211 1266 0 0 0 0 0 0 0 
_1.ptx 224 : 211 4884 0 0 0 0 0 0 0 
_1.ptx 225 : 211 2337 0 0 0 0 0 0 0 
_1.ptx 226 : 211 4611 0 0 0 32 32 0 0 
_1.ptx 228 : 211 5055 0 0 0 0 0 0 0 
_1.ptx 229 : 211 1266 0 0 0 0 0 0 0 
_1.ptx 230 : 211 74546 128 0 0 211 32 0 0 
_1.ptx 232 : 211 1266 0 0 0 0 0 0 0 
_1.ptx 233 : 211 12276 0 0 0 0 0 0 0 
_1.ptx 234 : 211 1823 128 0 0 32 32 0 0 
